Supplier_Name,PWSID,Stage_Invoked,Mandatory_Restrictions,Reporting_Month,Production_Reported,2013_Production_Reported,CII_Reported,Agriculture_Reported,2013_Agriculture_Reported,Recycled_Reported,Units,Qualification,Population_Served,R_GPCD_Reported,Enforcement_Actions,Implementation,Conservation_Standard,Ag_Cert,Production_Calculated,2013_Production_Calculated,CII_Calculated,R_GPCD_Calculated,Percent_Residential_Use,Comments_Corrections,Hydrologic_Region,Watering_Days_Per_Week,Complaints,Follow_Ups,Warnings,Penalties_Rate,Penalties_Other,Enforcement_Comments
Arcata  City of,CA1210001,0,No,4/15/2018,52.475,55.497,13.341,NA,NA,NA,MG,NA,19048,42,NA,NA,NULL,No,52475000,55497000,13341000,42.24153017,46,No Correction,North Coast,7,0,2,0,0,0,NA
Arcata  City of,CA1210001,0,No,3/15/2018,49.412,47.297,11.136,NA,NA,NA,MG,NA,19048,38,NA,NA,NULL,No,49412000,47297000,11136000,38.49277208,46,No Correction,North Coast,7,0,0,8,0,0,NA
Arcata  City of,CA1210001,0,No,2/15/2018,48.665,49.66,12.843,NA,NA,NA,MG,NA,19048,42,NA,NA,NULL,No,48665000,49660000,12843000,43.79762405,48,No Correction,North Coast,7,0,14,0,0,0,NA
Arcata  City of,CA1210001,0,No,1/15/2018,53.611,48.182,12.185,NA,NA,NA,MG,NA,19048,45,NA,NA,NULL,No,53611000,48182000,12185000,44.48759331,49,No Correction,North Coast,7,0,16,0,0,0,NA
Arcata  City of,CA1210001,0,No,12/15/2017,47.415,53.46,10.119,NA,NA,NA,MG,CII use decreased from 10.301 MG to 10.119 MG.  A single commercial meter read error was identified in January 2018.  December's CII use was decrease to reflect corrections to the meter read.,19048,36,NA,NA,NULL,No,47415000,53460000,10119000,36.13409587,45,No Correction,North Coast,7,0,9,0,0,0,NA
Arcata  City of,CA1210001,0,No,11/15/2017,50.787,47.544,16.354,NA,NA,NA,MG,Error identified in the volume of water sold to another public water system;  some water sold to another PWS in December was erroneously reported as water sold in November.  Correction resulted in an increase in the total production volume and a decrease in CII use.,19048,49,NA,NA,NULL,No,50787000,47544000,16354000,48.88150987,55,No Correction,North Coast,7,0,22,0,0,0,NA
Arcata  City of,CA1210001,0,No,10/15/2017,61.563,59.138,17.958,NA,NA,NA,MG,Production volume was incorrectly reported due to a transcription error.  Error was corrected and production volume updated on 12/12/2017.,19048,49,NA,NA,NULL,No,61563000,59138000,17958000,49.00118207,47,No Correction,North Coast,7,0,10,0,0,0,NA
Arcata  City of,CA1210001,0,No,9/15/2017,58.662,65.563,16.643,NA,NA,NA,MG,NA,19048,51,0,NA,NULL,No,58662000,65563000,16643000,50.30165897,49,No Correction,North Coast,7,0,10,0,0,0,0
Arcata  City of,CA1210001,0,No,8/15/2017,64.199,61.75,17.473,NA,NA,NA,MG,CII use was previously under reported.  August 2017 CII use update on 10/11/2017,19048,52,NA,NA,NULL,No,64199000,61750000,17473000,50.01209169,46,No Correction,North Coast,7,0,8,0,0,0,NA
Arcata  City of,CA1210001,0,No,7/15/2017,61.035,64.423,14.042,NA,NA,NA,MG,"9/6/2017: Due to a data handling error residential use was under reported by 1.293 MG and commercial use was over reported by the same amount.  CCI, percentage residential use and GPCD have been updated.",19048,55,NA,NA,NULL,No,61035000,64423000,14042000,54.78273902,53,No Correction,North Coast,7,0,6,0,0,0,NA
Arcata  City of,CA1210001,0,No,6/15/2017,50.987,52.614,11.575,NA,NA,NA,MG,NA,19048,42,NA,NA,NULL,No,50987000,52614000,11575000,41.93596878,47,No Correction,North Coast,7,0,8,0,0,0,NA
Arcata  City of,CA1210001,0,No,5/15/2017,53.965,58.941,13.151,NA,NA,NA,MG,NA,19048,45,NA,NA,NULL,No,53965000,58941000,13151000,44.78135034,49,No Correction,North Coast,7,0,5,0,0,0,NA
Arcata  City of,CA1210001,0,No,4/15/2017,47.209,55.497,13.688,NA,NA,NA,MG,NA,19048,41,NA,NA,0,No,47209000,55497000,13688000,41.30704886,50,No Correction,North Coast,7,0,8,0,0,0,NA
Arcata  City of,CA1210001,0,No,3/15/2017,51.205,47.297,12.379,NA,NA,NA,MG,This is a revised report.  The query parameters used in the initial report were incorrect,19048,37,NA,NA,0,No,51205000,47297000,12379000,37.28805666,43,No Correction,North Coast,7,0,15,0,0,0,NA
Arcata  City of,CA1210001,0,No,2/15/2017,45.836,49.66,13.692,NA,NA,NA,MG,This is a revised report.  The query parameters used for the initial report were incorrect.,19048,47,NA,NA,0,No,45836000,49660000,13692000,48.98624528,57,No Correction,North Coast,7,0,33,0,0,0,NA
Arcata  City of,CA1210001,0,No,1/15/2017,50.791,48.182,11.479,NA,NA,NA,MG,NA,18392,46,NA,NA,0,No,50791000,48182000,11479000,45.43246362,51,No Correction,North Coast,7,0,4,0,0,0,NA
Arcata  City of,CA1210001,0,No,12/15/2016,46.719,51.226,12.106,NA,NA,NA,MG,NA,18392,40,NA,NA,0,No,46719000,51226000,12106000,40.15124037,49,No Correction,North Coast,7,0,6,0,0,0,NA
Arcata  City of,CA1210001,0,No,11/15/2016,48.224,47.544,13.292,NA,NA,NA,MG,NA,18392,61,NA,NA,0,No,48224000,47544000,13292000,61.18022329,70,No Correction,North Coast,7,0,16,0,0,0,NA
Arcata  City of,CA1210001,0,No,10/15/2016,53.685,59.138,15.55,NA,NA,NA,MG,NA,18392,60,NA,NA,0,No,53685000,59138000,15550000,60.26182492,64,No Correction,North Coast,7,0,0,0,0,0,NA
Arcata  City of,CA1210001,0,No,9/15/2016,61.285,65.563,19.414,NA,NA,NA,MG,NA,18392,60,NA,NA,0,No,61285000,65563000,19414000,59.97879513,54,No Correction,North Coast,7,0,17,0,0,0,NA
Arcata  City of,CA1210001,0,No,8/15/2016,64.385,61.75,19.444,NA,NA,NA,MG,NA,18392,57,NA,NA,0,No,64385000,61750000,19444000,55.3337531,49,No Correction,North Coast,7,0,3,0,0,0,NA
Arcata  City of,CA1210001,0,No,7/15/2016,58.138,64.423,14.899,NA,NA,NA,MG,NA,18392,45,NA,NA,0,No,58138000,64423000,14899000,45.88618474,45,No Correction,North Coast,7,0,11,0,0,0,NA
Arcata  City of,CA1210001,0,No,6/15/2016,57.754,52.614,11.892,NA,NA,NA,MG,NA,18392,47,NA,NA,0,No,57754000,52614000,11892000,47.10254458,45,No Correction,North Coast,7,0,3,0,0,0,NA
Arcata  City of,CA1210001,0,No,5/15/2016,52.743,60.571,15.663,NA,NA,NA,MG,NA,18392,53,NA,NA,0.04,No,52743000,60571000,15663000,52.72893895,57,No Correction,North Coast,7,1,12,0,0,0,NA
Arcata  City of,CA1210001,0,No,4/15/2016,47.099,56.862,14.159,NA,NA,NA,MG,This is a revised report for April 2016.  Revised meter data was provided by the wholesaler.  The correction increased total potable water production for April 2016.,18392,43,NA,NA,0.04,No,47099000,56862000,14159000,42.6806945,50,No Correction,North Coast,7,0,5,0,0,0,NA
Arcata  City of,CA1210001,0,No,3/15/2016,48.51,49.02,10.253,NA,NA,NA,MG,Population updated per the population per connection method as defined in the electronic annual report.,18392,36,NA,NA,0.04,No,48510000,49020000,10253000,36.58550702,43,No Correction,North Coast,7,0,11,0,0,0,NA
Arcata  City of,CA1210001,3,Yes,2/15/2016,49.789,50.987,13.034,NA,NA,NA,MG,"Previous report submitted for February 2016 inaccurately reported population, which was updated based on the persons per connection method as defined in the electronic annual report.",18392,51,NA,NA,0.04,No,48072137.93,50987000,12584551.72,50.40808597,54,No Correction,North Coast,4,0,14,0,0,0,NA
Arcata  City of,CA1210001,3,Yes,1/15/2016,44.115,49.936,12.571,NA,NA,NA,MG,NA,18464,45,NA,NA,0.04,No,44115000,49936000,12571000,44.70198328,58,No Correction,North Coast,4,0,5,0,0,0,NA
Arcata  City of,CA1210001,3,Yes,12/15/2015,48.884,53.46,11.008,NA,NA,NA,MG,NA,18464,44,NA,NA,0.04,No,48884000,53460000,11008000,43.55614413,51,No Correction,North Coast,4,0,4,0,0,0,NA
Arcata  City of,CA1210001,3,Yes,11/15/2015,49.371,47.544,13.268,NA,NA,NA,MG,NA,18464,50,13 customers were notified of potential water leaks on their monthly billing statement.,NA,0.04,No,49371000,47544000,13268000,49.91291161,56,No Correction,North Coast,4,0,13,0,0,0,13 customers were notified of potential water leaks on their monthly billing statement.
Arcata  City of,CA1210001,3,Yes,10/15/2015,55.683,59.138,13.778,NA,NA,NA,MG,City of Arcata discovered a discrepancy in the volume of water we were being billed for by the wholesaler. The volume billed is the basis of the total potable water produced calculation. This resubmitted report reflects the total potable water produced based on the actual volume produced instead of the erroneous volume billed.,18464,47,22 customers were notified of potential water leaks on their monthly billing statement. One written notification of water waste was issued upon observation of water waste by City staff.,NA,0.04,No,55683000,59138000,13778000,47.66847082,49,No Correction,North Coast,4,0,23,1,0,0,22 customers were notified of potential water leaks on their monthly billing statement. One written notification of water waste was issued upon observation of water waste by City staff.
Arcata  City of,CA1210001,3,Yes,9/15/2015,59.551,65.563,15.03,NA,NA,NA,MG,City of Arcata discovered a discrepancy in the volume of water we were being billed for by the wholesaler.  The volume billed is the basis of the total potable water produced calculation.  This resubmitted report reflects the total potable water produced based on the actual volume produced instead of the erroneous volume billed.,18464,55,NA,NA,0.04,No,59551000,65563000,15030000,54.82923527,51,No Correction,North Coast,4,2,2,1,0,0,NA
Arcata  City of,CA1210001,3,Yes,8/15/2015,60.762,61.75,14.232,NA,NA,NA,MG,"Revised report submitted to reflect corrections to water use data.  In earlier reports, water sold to a water hauler delivering outside of the City's distribution system was included in water delivered to CII's.  In this revised report, water sold to a water hauler delivering water outside our distribution system is considered water sold to another PWS.  This correction changes the total water production for the City and CII volume reported.",18464,44,NA,NA,0.04,No,60762000,61750000,14232000,42.46240286,40,No Correction,North Coast,4,10,10,0,0,0,NA
Arcata  City of,CA1210001,3,Yes,7/15/2015,57.769,64.423,16.542,NA,NA,NA,MG,"Revised report submitted to reflect corrections to water use data.  In earlier reports, water sold to a water hauler delivering outside of the City's distribution system was included in water delivered to CII's.  In this revised report, water sold to a water hauler delivering water outside our distribution system is considered water sold to another PWS.  This correction changes the total water production for the City and CII volume reported.",18464,53,NA,NA,0.04,No,57769000,64423000,16542000,52.48204003,52,No Correction,North Coast,4,4,4,0,0,0,NA
Arcata  City of,CA1210001,3,Yes,6/15/2015,58.976,52.614,12.165,NA,NA,NA,MG,"Revised report submitted to reflect corrections to water use data.  In earlier reports, water sold to a water hauler delivering outside of the City's distribution system was included in water delivered to CII's.  In this revised report, water sold to a water hauler delivering water outside our distribution system is considered water sold to another PWS.  This correction changes the total water production for the City and CII volume reported.",18464,42,NA,NA,0.04,No,58976000,52614000,12165000,42.58809936,40,No Correction,North Coast,4,1,1,0,0,0,NA
Arcata  City of,CA1210001,3,Yes,5/15/2015,51.351,60.571,16.417,NA,NA,NA,MG,"Revised report submitted to reflect corrections to water use data.  In earlier reports, water sold to a water hauler delivering outside of the City's distribution system was included in water delivered to CII's.  In this revised report, water sold to a water hauler delivering water outside our distribution system is considered water sold to another PWS.  This correction changes the total water production for the City and CII volume reported.",18464,47,NA,NA,NULL,No,51351000,60571000,16417000,47.54855132,53,No Correction,North Coast,7,0,0,0,0,0,NA
Arcata  City of,CA1210001,3,Yes,4/15/2015,49.075,56.862,NA,NA,NA,NA,MG,"Revised report submitted to reflect corrections to water use data.  In earlier reports, water sold to a water hauler delivering outside of the City's distribution system was included in water delivered to CII's.  In this revised report, water sold to a water hauler delivering water outside our distribution system is considered water sold to another PWS.  This correction changes the total water production for the City and CII volume reported.",18464,47,NA,NA,NULL,No,49075000,56862000,Null,46.95578784,53,No Correction,North Coast,7,0,0,0,0,0,NA
Arcata  City of,CA1210001,3,Yes,3/15/2015,50.558,49.02,NA,NA,NA,NA,MG,"Revised report submitted to reflect corrections to water use data.  In earlier reports, water sold to a water hauler delivering outside of the City's distribution system was included in water delivered to CII's.  In this revised report, water sold to a water hauler delivering water outside our distribution system is considered water sold to another PWS.  This correction changes the total water production for the City and CII volume reported.",18464,46,NA,NA,NULL,No,50558000,49020000,Null,45.9309834,52,No Correction,North Coast,7,0,0,0,0,0,NA
Arcata  City of,CA1210001,3,Yes,2/15/2015,45.78,50.987,NA,NA,NA,NA,MG,"Revised report submitted to reflect corrections to water use data.  In earlier reports, water sold to a water hauler delivering outside of the City's distribution system was included in water delivered to CII's.  In this revised report, water sold to a water hauler delivering water outside our distribution system is considered water sold to another PWS.  This correction changes the total water production for the City and CII volume reported.",18155,45,NA,NA,NULL,No,45780000,50987000,Null,45.02891765,50,No Correction,North Coast,7,0,0,0,0,0,NA
Arcata  City of,CA1210001,3,Yes,1/15/2015,44.744,49.936,NA,NA,NA,NA,MG,"Revised report submitted to reflect corrections to water use data.  In earlier reports, water sold to a water hauler delivering outside of the City's distribution system was included in water delivered to CII's.  In this revised report, water sold to a water hauler delivering water outside our distribution system is considered water sold to another PWS.  This correction changes the total water production for the City and CII volume reported.",18155,53,NA,NA,NULL,No,44744000,49936000,Null,52.47117563,66,No Correction,North Coast,7,0,0,0,0,0,NA
Arcata  City of,CA1210001,3,Yes,12/15/2014,51.226,53.46,NA,NA,NA,NA,MG,"Revised report submitted to reflect corrections to water use data.  In earlier reports, water sold to a water hauler delivering outside of the City's distribution system was included in water delivered to CII's.  In this revised report, water sold to a water hauler delivering water outside our distribution system is considered water sold to another PWS.  This correction changes the total water production for the City and CII volume reported.",18155,35,NA,NA,NULL,No,51226000,53460000,Null,35.49744583,39,No Correction,North Coast,7,0,0,0,0,0,NA
Arcata  City of,CA1210001,3,Yes,11/15/2014,42.596,47.544,NA,NA,NA,NA,MG,"Revised report submitted to reflect corrections to water use data.  In earlier reports, water sold to a water hauler delivering outside of the City's distribution system was included in water delivered to CII's.  In this revised report, water sold to a water hauler delivering water outside our distribution system is considered water sold to another PWS.  This correction changes the total water production for the City and CII volume reported.",18155,45,NA,NA,NULL,No,42596000,47544000,Null,45.36065363,58,No Correction,North Coast,7,0,0,0,0,0,NA
Arcata  City of,CA1210001,3,Yes,10/15/2014,54.654,59.138,NA,NA,NA,NA,MG,"Revised report submitted to reflect corrections to water use data.  In earlier reports, water sold to a water hauler delivering outside of the City's distribution system was included in water delivered to CII's.  In this revised report, water sold to a water hauler delivering water outside our distribution system is considered water sold to another PWS.  This correction changes the total water production for the City and CII volume reported.",18155,44,NA,NA,NULL,No,54654000,59138000,Null,43.69950516,45,No Correction,North Coast,7,0,0,0,0,0,NA
Arcata  City of,CA1210001,3,Yes,9/15/2014,66.983,65.563,NA,NA,NA,NA,MG,"Revised report submitted to reflect corrections to water use data.  In earlier reports, water sold to a water hauler delivering outside of the City's distribution system was included in water delivered to CII's.  In this revised report, water sold to a water hauler delivering water outside our distribution system is considered water sold to another PWS.  This correction changes the total water production for the City and CII volume reported.",18155,55,NA,NA,NULL,No,66983000,65563000,Null,52.88293399,43,No Correction,North Coast,7,0,0,0,0,0,NA
Arcata  City of,CA1210001,3,Yes,8/15/2014,62.367,61.75,NA,NA,NA,NA,MG,"Revised report submitted to reflect corrections to water use data.  In earlier reports, water sold to a water hauler delivering outside of the City's distribution system was included in water delivered to CII's.  In this revised report, water sold to a water hauler delivering water outside our distribution system is considered water sold to another PWS.  This correction changes the total water production for the City and CII volume reported.",18155,50,NA,NA,NULL,No,62367000,61750000,Null,48.75841544,44,No Correction,North Coast,7,0,0,0,0,0,NA
Arcata  City of,CA1210001,0,No,7/15/2014,64.187,64.423,NA,NA,NA,NA,MG,"Revised report submitted to reflect corrections to water use data.  In earlier reports, water sold to a water hauler delivering outside of the City's distribution system was included in water delivered to CII's.  In this revised report, water sold to a water hauler delivering water outside our distribution system is considered water sold to another PWS.  This correction changes the total water production for the City and CII volume reported.",18155,47,NA,NA,NULL,No,64187000,64423000,Null,46.75983689,41,No Correction,North Coast,7,0,0,0,0,0,NA
Arcata  City of,CA1210001,0,No,6/15/2014,63.214,52.614,NA,NA,NA,NA,MG,"Revised report submitted to reflect corrections to water use data.  In earlier reports, water sold to a water hauler delivering outside of the City's distribution system was included in water delivered to CII's.  In this revised report, water sold to a water hauler delivering water outside our distribution system is considered water sold to another PWS.  This correction changes the total water production for the City and CII volume reported.",18155,54,NA,NA,NULL,No,63214000,52614000,Null,53.38922244,46,No Correction,North Coast,7,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,2/15/2019,22.7,28.9,0.4,NA,NA,NA,AF,NA,3233,79.3,NA,NA,NULL,No,7396827.393,9417106.24,130340.5708,79.42331565,97.2,No Correction,North Coast,7,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,1/15/2019,23.4,33.9,2,NA,NA,NA,AF,NA,3241,68.6,NA,NA,NULL,No,7624923.392,11046363.38,651702.854,68.60617239,90.4,No Correction,North Coast,7,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,12/15/2018,24.3,29.9,1.3,NA,NA,NA,AF,NA,3228,73.3,NA,NA,NULL,No,7918189.676,9742957.667,423606.8551,73.19348294,92.5,No Correction,North Coast,7,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,11/15/2018,25.8,26.2,1.9,NA,NA,NA,AF,NA,3228,80,NA,NA,NULL,No,8406966.817,8537307.387,619117.7113,79.86792102,92,No Correction,North Coast,7,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,10/15/2018,28.8,33.6,0.6,NA,NA,NA,AF,NA,3228,90.7,0,NA,NULL,No,9384521.098,10948607.95,195510.8562,90.59287065,96.6,No Correction,North Coast,7,0,0,0,0,0,0
California Water Service Company Redwood Valley,CA1710005,1,Yes,9/15/2018,35,35.9,3.3,NA,NA,NA,AF,NA,3228,106.6,NA,NA,NULL,No,11404799.95,11698066.23,1075309.709,106.5814121,90.5,No Correction,North Coast,7,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,8/15/2018,34.4,46,0.3,NA,NA,NA,AF,NA,3228,110.3,NA,NA,NULL,No,11209289.09,14989165.64,97755.4281,110.224452,98.4,No Correction,North Coast,7,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,NA,7/15/2018,39.4,47.9,3.1,NA,NA,NA,AF,NA,3228,115,NA,NA,NULL,No,12838546.22,15608283.35,1010139.424,115.0835028,89.7,No Correction,North Coast,7,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,6/15/2018,36.5,43,0.3,NA,NA,NA,AF,NA,3228,120.1,NA,NA,NULL,No,11893577.09,14011611.36,97755.4281,120.2376287,97.9,No Correction,North Coast,7,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,5/15/2018,31.8,41.1,2.2,NA,NA,NA,AF,NA,3228,93.1,NA,NA,NULL,No,10362075.38,13392493.65,716873.1394,93.09175526,89.9,No Correction,North Coast,7,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,4/15/2018,25.8,35,0.4,NA,NA,NA,AF,NA,3228,84.6,NA,NA,NULL,No,8406966.817,11404799.95,130340.5708,84.55582073,97.4,No Correction,North Coast,7,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,3/15/2018,28.9,30.9,2.7,NA,NA,NA,AF,NA,3228,81.9,NA,NA,NULL,No,9417106.24,10068809.09,879798.8529,81.96725762,87.1,No Correction,North Coast,7,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,2/15/2018,26.2,28.9,0.3,NA,NA,NA,AF,NA,3228,92.3,NA,NA,NULL,No,8537307.387,9417106.24,97755.4281,92.37792778,97.8,No Correction,North Coast,7,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,1/15/2018,27.1,33.9,1.6,NA,NA,NA,AF,NA,3228,81.9,NA,NA,NULL,No,8830573.672,11046363.38,521362.2832,81.98028282,92.9,No Correction,North Coast,7,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,12/15/2017,25.5,29.9,0.3,NA,NA,NA,AF,NA,3228,81,NA,NA,NULL,No,8309211.389,9742957.667,97755.4281,81.1258297,97.7,No Correction,North Coast,7,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,11/15/2017,24.2,26.2,3.1,NA,NA,NA,AF,NA,3233,71.2,NA,NA,NULL,No,7885604.533,8537307.387,1010139.424,71.22166792,87.6,No Correction,North Coast,7,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,10/15/2017,27.2,33.6,0.4,NA,NA,NA,AF,NA,3242,86,NA,NA,NULL,No,8863158.814,10948607.95,130340.5708,86.07234685,97.6,No Correction,North Coast,7,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,9/15/2017,30.2,35.9,3,NA,NA,NA,AF,NA,3247,92.3,NA,NA,NULL,No,9840713.095,11698066.23,977554.281,92.33560999,91.4,No Correction,North Coast,7,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,8/15/2017,32.6,46,0.3,NA,NA,NA,AF,NA,3248,103.7,NA,NA,NULL,No,10622756.52,14989165.64,97755.4281,103.813686,98.4,No Correction,North Coast,7,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,7/15/2017,33,47.9,2.7,NA,NA,NA,AF,NA,3239,97.6,NA,NA,NULL,No,10753097.09,15608283.35,879798.8529,97.5616872,91.1,No Correction,North Coast,7,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,6/15/2017,29.2,43,0.3,NA,NA,NA,AF,NA,3236,96,NA,NA,NULL,No,9514861.668,14011611.36,97755.4281,95.85429246,97.8,No Correction,North Coast,7,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,5/15/2017,26.5,41.1,2.1,NA,NA,NA,AF,NA,3218,78.9,NA,NA,NULL,No,8635062.816,13392493.65,684287.9967,78.85625438,91.1,No Correction,North Coast,3,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,4/15/2017,22.6,35,0.3,NA,NA,NA,AF,NA,3211,74.9,NA,NA,0,No,7364242.25,11404799.95,97755.4281,74.84265715,97.9,No Correction,North Coast,3,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,3/15/2017,25.3,30.9,1.8,NA,NA,NA,AF,NA,3195,75.9,NA,NA,0,No,8244041.103,10068809.09,586532.5686,75.82736579,91.1,No Correction,North Coast,3,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,2/15/2017,24,28.9,0.3,NA,NA,NA,AF,NA,3203,84.9,NA,NA,0,No,7820434.248,9417106.24,97755.4281,85.01988528,97.5,No Correction,North Coast,3,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,1/15/2017,26,33.9,1.3,NA,NA,NA,AF,NA,3206,79.1,NA,NA,0,No,8472137.102,11046363.38,423606.8551,79.19239498,92.9,No Correction,North Coast,3,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,12/15/2016,22.4,29.9,1,NA,NA,NA,AF,NA,3214,68,NA,NA,0,No,7299071.965,9742957.667,325851.427,68.13072774,93,No Correction,North Coast,3,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,11/15/2016,21.3,26.2,2.5,NA,NA,NA,AF,NA,3215,64.9,NA,NA,0,No,6940635.395,8537307.387,814628.5675,64.76487149,90,No Correction,North Coast,3,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,10/15/2016,20.8,33.6,0.5,NA,NA,NA,AF,NA,3214,66,NA,NA,0,No,6777709.682,10948607.95,162925.7135,66.05331615,97.1,No Correction,North Coast,3,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,9/15/2016,27.6,35.9,2.8,NA,NA,NA,AF,NA,3226,84.7,NA,NA,0,No,8993499.385,11698066.23,912383.9956,84.56379872,91,No Correction,North Coast,3,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,1,Yes,8/15/2016,30.8,46,0.4,NA,NA,NA,AF,NA,3233,97.9,NA,NA,0,No,10036223.95,14989165.64,130340.5708,97.93587325,97.8,No Correction,North Coast,3,0,0,0,0,0,NA
California Water Service Company Redwood Valley,CA1710005,2,Yes,7/15/2016,31.7,47.9,2.2,NA,NA,NA,AF,NA,3206,95.3,NA,NA,0,No,10329490.24,15608283.35,716873.1394,95.51447414,91.9,No Correction,North Coast,3,0,0,0,51,0,NA
California Water Service Company Redwood Valley,CA1710005,2,Yes,6/15/2016,29.5,43,0.8,NA,NA,NA,AF,NA,3206,95,NA,NA,0,No,9612617.097,14011611.36,260681.1416,94.84688734,94.9,No Correction,North Coast,3,0,0,0,30,0,NA
